route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
South Delta Exchange/Boundary Bay,3,,,TL,6844,https://translink.ca/schedules-and-maps/route/619/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=619,,619
English Bluff/South Delta Exchange,3,,,TL,6843,https://translink.ca/schedules-and-maps/route/614/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=614,,614
Coquitlam Central Station/Lansdowne,3,,,TL,30048,https://translink.ca/schedules-and-maps/route/185/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=185,,185
Coquitlam Central Station/Hampton Park,3,,,TL,30049,https://translink.ca/schedules-and-maps/route/186/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=186,,186
Coquitlam Central Station/Buntzen Lake,3,,,TL,30042,https://translink.ca/schedules-and-maps/route/179/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=179,,179
Moody Centre Station/Lougheed Station,3,,,TL,30043,https://translink.ca/schedules-and-maps/route/180/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=180,,180
Marine Dr Express,3,,,TL,45596,https://translink.ca/schedules-and-maps/route/80/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=80,,080
Coquitlam Central Station/Meridian,3,,,TL,30041,https://translink.ca/schedules-and-maps/route/175/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=175,,175
Moody Centre Station/Coquitlam Central Station,3,,,TL,30046,https://translink.ca/schedules-and-maps/route/183/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=183,,183
Moody Centre Station/Noons Creek,3,,,TL,30047,https://translink.ca/schedules-and-maps/route/184/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=184,,184
Moody Centre Station/Ioco,3,,,TL,30044,https://translink.ca/schedules-and-maps/route/181/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=181,,181
Moody Centre Station/Belcarra,3,,,TL,30045,https://translink.ca/schedules-and-maps/route/182/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=182,,182
Harbourside/Lonsdale Quay,3,,,TL,18213,https://translink.ca/schedules-and-maps/route/231/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=231,,231
116 Street,3,,,TL,6718,https://translink.ca/schedules-and-maps/route/391/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=391,,391
128 Street,3,,,TL,6719,https://translink.ca/schedules-and-maps/route/393/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=393,,393
White Rock Centre/Bridgeport Station,3,,,TL,6716,https://translink.ca/schedules-and-maps/route/352/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=352,,352
White Rock South/Bridgeport Station,3,,,TL,6717,https://translink.ca/schedules-and-maps/route/354/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=354,,354
152 Street,3,,,TL,6714,https://translink.ca/schedules-and-maps/route/345/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=345,,345
White Rock Centre/Bridgeport Station,3,,,TL,6715,https://translink.ca/schedules-and-maps/route/351/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=351,,351
